cat_id;categ;short_desc;desc_incl_all;desc_incl_any;desc_not_any;uom_incl_any
1;B_G;BOLTING;;STUD|STUDS;
2;B_G;GASKET;;GASKET|GSKT;
3;B_G;GASKET-RING-OVAL-TYPE;;RING, OVAL;
4;FLG-BLIND;BLEED RING;;BLEED RING;
5;FLG-BLIND;BLIND FLANGE;;BLIND|BLD FLG;SPECTACLE BLIND|FIG 8|Figure 8|SPECTACLE BLD|PADDLE|SPEC BLIND
6;FLG-BLIND;SPECTACLE BLIND;;SPECTACLE BLIND|FIG 8|FIG-8|Figure 8|SPECTACLE BLD|PADDLE|SPEC BLIND;
7;FLG;FLANGE-GROOVE;;GROOVE FLANGE;
8;FLG;FLANGE-LAP JOINT;;LAP JOINT FLANGE;
9;FLG;FLANGE-LOK-RING;;LOK-RING;
10;FLG;FLANGE-ORIFICE;;ORIFICE FLANGE|ORIFICE FLG;
11;FLG;FLANGE-REDUCING;;REDUCING FLANGE|REDUCING FLG|RED FLANGE|RED FLG;
12;FLG;FLANGE-SLIP-ON;;SLIP-ON FLANGE|SO FLANGE|SO FLG;
13;FLG;FLANGE-SLIP-ON-REDUCING;;REDUCING SLIP ON FLANGE;
14;FLG;FLANGE-SW;;SW FLANGE|SW FLG|RFSW|FLANGE SW;RED|WN
15;FLG;FLANGE-THRD;;THRD FLANGE;SW|WN
16;FLG;FLANGE-WN;;WN FLANGE|WN FLG|RFWN|FLANGE WN|WELD NECK FLANGE|RTJWN;RED|SW
17;FTG;45D EL;;45D EL|45 EL|ELL;90
18;FTG;90D EL;;90D EL|90 EL|ELL|90d;45
19;FTG;BULKHEAD FITTING;BULKHEAD|FITTING;;
20;FTG;CAP;;CAP;SCREW
21;FTG;COUPLING;;COUPLING|CPLG;
22;FTG;CROSS;;CROSS;
23;FTG;CWR;;CWR|CONC RED|CON RED|REDUCER CONC;
24;FTG;EWR;;EWR;
25;FTG;LATROLET;;LATROLET|LOL|L-O-L;
26;FTG;LWN;;LONG WELD NECK|LWN;
27;FTG;REDUCING BUSHING;RED|BUSH;;
28;FTG;REPAD;;REINFORCING PAD|REPAD;
29;FTG;STUB-END;;STUB-END|STUB END;
30;FTG;SWAGE-CON;CON|SWAGE;CON-SWAGE|C-SWAGE|CONC SWAGE|CON SWAGE|SWAGE CONC;ECC
31;FTG;SWAGE-ECC;ECC|SWAGE;ECC-SWAGE|E-SWAGE|ECC SWAGE|SWAGE ECC;CON
32;FTG;TEE;;TEE;RED
33;FTG;TEE-REDUCING;;RED TEE|RED. TEE|REDUCING TEE;
34;FTG;UNION;;UNION;
35;INSTR;PRESSURE INDICATOR;PRESSURE;INDICATOR|GAUGE|GUAGE;
36;MISC;ADHESIVE;;ADHESIVE;
37;MISC;ROUND BAR;;BAR|ROUND;
38;MISC;ROUND PLUG;;ROUND PLUG|PLUG;VALVE|VLV
39;NIP;NIPPLE;;NIPPLE|NIP;
40;OLET;BOSSET;;BOSSET;
41;OLET;EOL;;EOL|E-O-L|E.O.L.|ELBOWLET;
42;OLET;NIP-O-LET;;NIP-O-LET;
43;OLET;SOL;;SOL|SOCKOLET|S-O-L|OLET SW;
44;OLET;TOL;;TOL|T.O.L.|T-O-L;
45;OLET;WOL;;WOL|W.O.L.|W-O-L|WELDOLET;
46;PIP;PIPE;;PIPE;support|guide|shoe
47;PIP;ROLLED/WELDED PLATE;;LONG CAN|LONG ROLLED TO;
48;SP-ITEM;CAMLOCK ADAPTER;;CAMLOCK|KAMLOCK|KAMLOK;
49;SP-ITEM;CONE STRAINER;;CONICAL STRAINER|CONE STRAINER;
50;SP-ITEM;STEAM TRAP;;STEAM TRAP;
51;SP-ITEM;STRAINER;;STRAINER;CONICAL|CONE
52;SUPT;ANGLE;;ANGLE;
53;SUPT;ANGLE;;ANGLE SUPPORT;
54;SUPT;BASE;;BASE SUPPORT;
55;SUPT;CASING SEAL;CASING|SEAL;;
56;SUPT;CASING SPACERS;;CASING SPACERS|CONC TYPE SPACER;
57;SUPT;CHANNEL;;CHANNEL|C6|C8|C10|C12;
58;SUPT;CLEVIS_BEAM ATTACH;;HANGER ASSEMBLY CLEVIS/BOLTED BEAM ATTACHMENT;
59;SUPT;DUMMY LEG;DUMMY|LEG;;
60;SUPT;FLAT BAR;;FLAT|BAR;
61;SUPT;HGR ASSY BOLTED/CLAMPED;;HANGER ASSEMBLY BOLTED/CLAMPED;
62;SUPT;KNEE BRACE;;KNEE BRACE;
63;SUPT;PIPE HANGER;;PIPE HANGER|PIPE HGR;
64;SUPT;PLATE;;PLATE|PL ;
65;SUPT;POLYKEN GLUE;POLYKEN|GLUE;;
66;SUPT;POLYKEN TAPE;POLYKEN|TAPE;;
67;SUPT;ROD HANGER;;ROD HANG|ROD HGR;
68;SUPT;SHOE;;SHOE;
69;SUPT;SWIVEL;;SWIVEL;
70;SUPT;U-BOLT;;U-BOLT;
71;SUPT;U-SHAPED;;U SHAPE SUPPORT;
72;SUPT;WEAR PAD;;WEAR PAD;
73;TUBING;TUBE-CLAMP-STAUFF;;STAUFF CLAMP;
74;TUBING;TUBE-FTG-ADAPTER;;TUBING CONNECTOR|MNPT ADAPTER|TUBING ADAPTER|FNPT ADAPTER|ADAPTER|BSPP;
75;TUBING;TUBE-FTG-REDUCER;;CPI REDUCER;
76;TUBING;TUBING;;TUBING|TUBE;CONN|ADAPT
77;VALVE;VALVE-BALL;;BALL VALVE|BALL;
78;VALVE;VALVE-CHECK;;CHECK VALVE|CHECK;
79;VALVE;VALVE-GATE;;GATE VALVE|GATE;
80;VALVE;VALVE-GLOBE;;GLOBE VALVE|GLOBE;
81;VALVE;VALVE-NEEDLE;;NEEDLE VALVE|NEEDLE;
82;VALVE;VALVE-PLUG;;PLUG VALVE|PLUG;